Bot #1 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time,    Stdev Turn Time,Bot #2 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time, Stdev Turn Time,    Mean # Turns/Match,Stdev # Rounds/Match,Mean Sec/Match, Stdev Sec/Match
MINIMAX,T,2,VORONOI,1,0.591286826134,0.292737191025,MINIMAX,F,4,VORONOI,0,0.0549976767563,0.0359288947418,82.0,0.0,25.906441927,0.0
MINIMAX,T,2,VORONOI,1,0.992533269476,0.465992994766,MINIMAX,F,4,CHAMBER,0,0.0602685020816,0.0308088019784,124.0,0.0,64.2812788486,0.0
MINIMAX,T,2,VORONOI,0,3.83648083364e-05,0.000222951720882,NAIVE,N/A,N/A,N/A,1,0.0508612333423,0.0272670915635,277.0,0.0,6.973498106,0.0
MINIMAX,T,2,CHAMBER,1,0.00097029738956,0.00039735316464,MINIMAX,T,1,RATIO,0,0.10591584689,0.0456718160537,146.0,0.0,7.8018348217,0.0
MINIMAX,T,2,CHAMBER,1,0.0223470850194,0.00406718200247,MINIMAX,T,1,VORONOI,0,0.0986462682486,0.0518350161863,96.0,0.0,5.78542590141,0.0
MINIMAX,T,2,CHAMBER,0,0.0332376119253,0.00862912185672,MINIMAX,T,1,CHAMBER,1,0.0771201406206,0.064536374399,73.0,0.0,3.92905187607,0.0
MINIMAX,T,2,CHAMBER,0,0.00253897818966,0.00129592461185,MINIMAX,T,2,RATIO,1,0.108500655018,0.0497308181023,137.0,0.0,7.44484210014,0.0
MINIMAX,T,2,CHAMBER,1,0.0594559378094,0.0353839619817,MINIMAX,T,2,VORONOI,0,0.108173734263,0.0579335810299,38.0,0.0,3.12554001808,0.0
MINIMAX,T,2,CHAMBER,1,0.113455354553,0.0430436288793,MINIMAX,T,2,CHAMBER,0,0.105432082196,0.0477990533393,196.0,0.0,21.3376760483,0.0
MINIMAX,T,2,CHAMBER,0,0.00459941114698,0.00317267306631,MINIMAX,T,3,RATIO,1,0.113816159613,0.0363173402865,139.0,0.0,8.06156277657,0.0
MINIMAX,T,2,CHAMBER,1,0.147866185788,0.0845385209939,MINIMAX,T,3,VORONOI,0,0.0871427017346,0.0504775801189,228.0,0.0,26.6433231831,0.0
MINIMAX,T,2,CHAMBER,0,0.240164744227,0.137834291982,MINIMAX,T,3,CHAMBER,1,0.076010439847,0.0503462484918,151.0,0.0,23.877425909,0.0
MINIMAX,T,2,CHAMBER,0,0.00903272369634,0.00760719557454,MINIMAX,T,4,RATIO,1,0.105547626813,0.0424189948953,183.0,0.0,10.3304381371,0.0
MINIMAX,T,2,CHAMBER,0,0.223216443034,0.231082907627,MINIMAX,T,4,VORONOI,1,0.0903525535877,0.0451187083791,341.0,0.0,53.4398620129,0.0
MINIMAX,T,2,CHAMBER,1,0.535520443276,0.431774791951,MINIMAX,T,4,CHAMBER,0,0.0971499997027,0.0472937178781,136.0,0.0,42.4861910343,0.0
MINIMAX,T,2,CHAMBER,1,0.000963767369588,0.000405224285432,MINIMAX,F,1,RATIO,0,0.106589095233,0.0456284017276,146.0,0.0,7.85051107407,0.0
MINIMAX,T,2,CHAMBER,0,0.01688127688,0.00679347496619,MINIMAX,F,1,VORONOI,1,0.0742935581484,0.052067964721,279.0,0.0,12.6160979271,0.0
MINIMAX,T,2,CHAMBER,0,0.0368014385826,0.0112486647698,MINIMAX,F,1,CHAMBER,1,0.0982893915737,0.06486180907,37.0,0.0,2.37017703056,0.0
MINIMAX,T,2,CHAMBER,1,0.00502484130859,0.00243955682368,MINIMAX,F,2,RATIO,0,0.105024695396,0.0427858761119,252.0,0.0,13.8613979816,0.0
MINIMAX,T,2,CHAMBER,0,0.0634952435451,0.0292779513995,MINIMAX,F,2,VORONOI,1,0.0703483057452,0.0563274442357,225.0,0.0,14.9837870598,0.0
MINIMAX,T,2,CHAMBER,0,0.125373816958,0.0444200180995,MINIMAX,F,2,CHAMBER,1,0.0911908879572,0.0523012033751,101.0,0.0,10.8624999523,0.0
MINIMAX,T,2,CHAMBER,0,0.0233838491413,0.0154284021135,MINIMAX,F,3,RATIO,1,0.0577948006106,0.0396818538745,713.0,0.0,28.8657250404,0.0
MINIMAX,T,2,CHAMBER,1,0.189904747495,0.0957375413932,MINIMAX,F,3,VORONOI,0,0.0878837485857,0.0443413244337,316.0,0.0,43.7009081841,0.0
